Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bulgaria,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bulgaria,Renewable electricity share of total electricity output (%),6.57629287,3.989984839,5.202874149,7.156019656,7.649785159,9.874465569,9.357830425,6.802990428,6.643638974,8.772799132,12.57796032,7.866381465,11.43648425,16.07885022,15.74360176,17.988593
Bulgaria,Renewable energy share of Total Energy Produced (%),7.983176683,7.284526174,8.733318915,9.164047114,9.601410312,9.89133044,10.00376331,8.870486173,9.950698837,11.66017379,14.3675278,13.27702936,15.75145216,18.15701907,16.96662481,17.65007793
Burkina Faso,Access to electricity (% of total population),9.222010612,9.792644501,10.35093212,11.4,11.45471954,12.01234436,12.5818758,13.16937447,13.77939415,14.4104414,13.1,15.72360229,16.39970779,17.08482742,19.2,18.47008133
Burkina Faso,Renewable electricity share of total electricity output (%),25.17930328,14.71956224,17.49383055,21.56995052,21.4451722,19.46542708,14.62212486,18.1372549,21.94058767,18.90540154,20.78542367,15.45574637,15.456,14.43820994,10.39712793,9.354038684
Burkina Faso,Renewable energy share of Total Energy Produced (%),85.4050025,83.6759129,79.34135094,79.07897108,83.52805966,86.54367413,84.61568101,82.42881695,82.93988509,83.59720868,81.45402374,80.5721976,77.17503674,75.42696802,75.24264911,74.16718786
Cambodia,Access to electricity (% of total population),16.6,17.74428177,19.81285667,19.3,23.93721771,20.5,28.08494759,30.18273354,26.4,34.44437408,31.1,38.7781105,40.96450424,43.15990829,56.1,47.56573868
Cambodia,Renewable electricity share of total electricity output (%),0.223214286,0.196463654,4.120879121,6.422018349,5.153374233,6.12033195,5.767599661,4.557640751,4.385964912,5.371248025,5.5,7.075471698,37.65690377,57.93025872,61.13651208,46.41801228
Cambodia,Renewable energy share of Total Energy Produced (%),81.13607553,79.58799718,83.01975973,82.0680974,78.20706734,76.0703302,73.85580389,69.36572502,67.99918608,71.32193694,68.51846752,68.16174548,68.2603726,68.972156,68.00791011,64.92377591
Cameroon,Access to electricity (% of total population),41,46.2,44.05050659,45.11754227,47.1,47.25702286,49,48.2,50.56917572,51.71525574,52.8793602,53.7,55.24962616,56.44977951,56.8,58.86510086
Cameroon,Renewable electricity share of total electricity output (%),98.90804598,98.10787913,96.42424242,95.76547231,95.37712895,94.20579421,88.81707795,74.82357429,75.8493223,70.67266125,73.21579929,75.29133592,75.36507937,75.33575318,75.32509753,76.11719444
Cameroon,Renewable energy share of Total Energy Produced (%),84.48261803,85.19563992,85.2123084,85.24719298,85.46386407,86.2274527,85.4250299,80.71356365,80.71410907,79.09346479,78.60423417,78.36926213,78.04783832,77.61457827,76.97539079,76.53840041
Canada,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada,Renewable electricity share of total electricity output (%),60.60030119,58.03265624,59.88641921,58.91556496,58.44631709,60.02942674,59.54428822,60.29627226,61.4725274,62.85034733,61.39675684,62.33825013,63.23056117,63.29803306,62.82499222,63.01145004
Canada,Renewable energy share of Total Energy Produced (%),21.51040106,21.00867869,21.76983695,21.18307873,21.58139664,22.24852785,22.08874861,22.12619174,22.52531404,22.70125736,22.08098938,21.96541861,22.61025847,22.37967975,22.02465154,22.02535921
Central African Republic,Access to electricity (% of total population),6,6.022170544,6.486515999,6.944578171,7.402419567,7.866103649,7.805169325,8.835249901,9.351327896,9.888433456,9.8,11.01371098,11.59587574,12.18705177,12.78423595,13.38442326
Central African Republic,Renewable electricity share of total electricity output (%),78.5046729,76.85185185,76.85185185,76.36363636,83.33333333,83.75,83.83233533,85.0931677,85.0931677,85,84.375,84.48275862,84.65909091,99.28057554,99.41520468,99.41520468
Central African Republic,Renewable energy share of Total Energy Produced (%),85.07342559,84.86031624,84.86031624,85.53125101,85.64597186,85.65289937,84.79723858,80.85728582,80.58303962,80.57925792,79.81060354,78.76716705,78.02788666,77.07997749,76.90304119,76.56702001
Chad,Access to electricity (% of total population),2.902383566,3.222131252,3.529532194,3.830649137,3.5,4.438284397,4.756928444,5.093541145,5.452673912,5.832834721,6.4,6.64422226,7.069441795,7.503673077,7.943912029,7.7
Chad,Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Renewable energy share of Total Energy Produced (%),97.16367648,97.26452103,97.26254546,91.96603534,92.122342,91.72726019,91.80991588,90.71424821,90.06843627,91.05415366,90.78835503,90.59736654,90.65051141,89.4572677,89.2400627,89.35739557
Chile,Access to electricity (% of total population),97.938687,97.25312042,97.46317291,98.782325,97.87049103,98.08879089,99.368108,98.55635071,98.81767273,99.593662,99.38864136,99.588193,99.85822296,99.6,99.99533844,99.714844
Chile,Renewable electricity share of total electricity output (%),48.54783173,54.26159742,55.45098578,50.15695402,46.90087486,53.88308818,55.25488069,44.15559999,45.74902854,48.8274431,40.202535,39.59642689,36.44535562,35.66687196,42.40700891,43.60433496
Chile,Renewable energy share of Total Energy Produced (%),31.36150999,32.14603397,33.06927423,31.61387155,31.43409229,32.26216584,32.90714332,30.46310654,30.82746096,31.52545784,27.04274094,28.79008756,30.30273423,30.17723846,26.71709933,24.88255427
China,Access to electricity (% of total population),96.243927,96.55620575,96.85614014,97.1497879,97.44321442,97.74249268,98.06681061,98.39870453,98.74991608,99.11564636,99.7,99.74872589,99.91638184,99.98311615,99.99848938,100
China,Renewable electricity share of total electricity output (%),16.63949819,18.95851917,17.6186279,15.03704033,16.22326642,16.17502498,15.59278342,15.26334714,17.73744406,17.8637982,18.62282605,16.76177043,19.96624894,20.29622738,22.60915378,23.92681717
China,Renewable energy share of Total Energy Produced (%),29.73071484,28.45581538,27.09820152,23.94657959,20.24947926,18.20381865,17.09461008,15.34937114,14.60199657,13.91196227,12.88431031,11.69579699,11.96856703,11.8381669,12.22382301,12.41335257
Colombia,Access to electricity (% of total population),95.2,94.19931793,94.45314026,94.70068359,94.94800568,96.8,95.46623993,95.74927521,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898
Colombia,Renewable electricity share of total electricity output (%),75.52463768,74.33819806,76.50415168,78.788595,81.65087793,80.16965652,80.60076258,81.53339128,84.01086918,72.87791562,72.12069198,83.46528973,79.5501941,73.99867546,74.03831068,68.23681122
Colombia,Renewable energy share of Total Energy Produced (%),28.02566208,27.22950143,28.78665152,30.68581769,29.16461133,28.72562126,28.98021856,29.66092561,28.95924085,29.55461041,27.93153502,26.78103662,26.64429131,24.47048951,24.44180909,23.56475752
